         8	    0.000001857
        16	    0.000001755
        32	    0.000001438
        64	    0.000001497
       128	    0.000001490
       256	    0.000001891
       512	    0.000003843
      1024	    0.000003223
      2048	    0.000002291
      4096	    0.000054233
      8192	    0.000019321
     16384	    0.000011287
     32768	    0.000011673
     65536	    0.000024595
    131072	    0.000084462
    262144	    0.000046051
    524288	    0.000066738
   1048576	    0.000168853
   2097152	    0.000402126
   4194304	    0.000541368
   8388608	    0.001049116
  16777216	    0.001964214
  33554432	    0.004206336
  67108864	    0.009345570
 134217728	    0.019168272
 268435456	    0.038243423
 536870912	    0.077221763
1073741824	    0.153925416
